ID,施設名,施設名フリガナ,施設種別,区・町名,住所,緯度,経度
499,山田小学校,ヤマダショウガッコウ,地下式給水栓,名古屋市西区,八筋町,35.22321667,136.8823494
500,（旧）江西小学校,キュウエニシショウガッコウ,地下式給水栓,名古屋市西区,菊井２丁目,35.18020579,136.8841177
1070,上野小学校,ウエノショウガッコウ,地下式給水栓,名古屋市千種区,上野二丁目6-1,35.17968199,136.9523615
1071,東山小学校,ヒガシヤマショウガッコウ,地下式給水栓,名古屋市千種区,橋本町3丁目20,35.16319705,136.9675426
1072,千種小学校,チクサショウガッコウ,地下式給水栓,名古屋市千種区,千種三丁目2-5,35.16232881,136.9334411
1073,星ヶ丘小学校,ホシガオカショウガッコウ,地下式給水栓,名古屋市千種区,星が丘1丁目4,35.16311941,136.9886234
1074,千代田橋小学校,チヨダバシショウガッコウ,地下式給水栓,名古屋市千種区,千代田橋二丁目3-7,35.18706205,136.9715431
1075,砂田橋小学校,スナダバシショウガッコウ,地下式給水栓,名古屋市東区,砂田橋三丁目1-13,35.18782521,136.9589317
1076,東白壁小学校,ヒガシシラカベショウガッコウ,地下式給水栓,名古屋市東区,白壁五丁目7,35.1825401,136.9214322
1077,筒井小学校,ツツイショウガッコウ,地下式給水栓,名古屋市東区,筒井一丁目15-28,35.17769693,136.9281261
1078,旭丘小学校,アサヒオカショウガッコウ,地下式給水栓,名古屋市東区,徳川町1601,35.18467584,136.9293616
1079,金城小学校,キンジョウショウガッコウ,地下式給水栓,名古屋市北区,金城三丁目11-6,35.19599609,136.9068886
1080,六郷小学校,ロクゴウショウガッコウ,地下式給水栓,名古屋市北区,大曽根三丁目1069,35.19216846,136.9340183
1081,光城小学校,コウジョウショウガッコウ,地下式給水栓,名古屋市北区,光音寺町4丁目1,35.2100231,136.9048124
1082,川中小学校,カワナカショウガッコウ,地下式給水栓,名古屋市北区,福徳町5丁目22,35.21377799,136.9024336
1083,辻小学校,ツジショウガッコウ,地下式給水栓,名古屋市北区,辻町1丁目32-4,35.2057482,136.9224557
1084,楠西小学校,クスノキニシショウガッコウ,地下式給水栓,名古屋市北区,会所町89,35.23839826,136.9072432
1085,枇杷島小学校,ビワジマショウガッコウ,地下式給水栓,名古屋市西区,枇杷島三丁目16-33,35.19273219,136.8722666
1086,中小田井小学校,ナカオタイショウガッコウ,地下式給水栓,名古屋市西区,中小田井二丁目189,35.21328292,136.8712691
1087,比良西小学校,ヒラニシショウガッコウ,地下式給水栓,名古屋市西区,玉池町347,35.22906591,136.8892663
1088,比良小学校,ヒラショウガッコウ,地下式給水栓,名古屋市西区,比良二丁目175,35.22618496,136.8996512
1089,稲生小学校,イノウショウガッコウ,地下式給水栓,名古屋市西区,香呑町2丁目84,35.20363016,136.8987919
1090,浮野小学校,ウキノショウガッコウ,地下式給水栓,名古屋市西区,浮野町98,35.22762002,136.8587044
1091,日比津小学校,ヒビツショウガッコウ,地下式給水栓,名古屋市中村区,高道町2丁目1-3,35.18318775,136.8637336
1092,（旧）本陣小学校,キュウホンジンショウガッコウ,地下式給水栓,名古屋市中村区,松原町1丁目24,35.1770389,136.8678913
1093,八社小学校,ハッシャショウガッコウ,地下式給水栓,名古屋市中村区,八社一丁目199-2,35.15115116,136.8383643
1094,亀島公園,カメジマコウエン,地下式給水栓,名古屋市中村区,亀島一丁目,35.17671642,136.8750322
1095,大須小学校,オオスショウガッコウ,地下式給水栓,名古屋市中区,大須一丁目31-4,35.15938875,136.8957746
1096,旧御園小学校,キュウミソノショウガッコウ,地下式給水栓,名古屋市中区,錦一丁目9-1,35.17004772,136.8958511
1097,吹上小学校,フキアゲショウガッコウ,地下式給水栓,名古屋市昭和区,吹上町1丁目22,35.15635733,136.9290046
1098,村雲小学校,ムラクモショウガッコウ,地下式給水栓,名古屋市昭和区,村雲町26-16,35.1445439,136.9209898
1099,御器所小学校,ゴキソショウガッコウ,地下式給水栓,名古屋市昭和区,明月町1丁目30,35.14698194,136.9282629
1100,瑞穂小学校,ミズホショウガッコウ,地下式給水栓,名古屋市瑞穂区,牧町2丁目46,35.12594213,136.932403
1101,堀田小学校,ホリタショウガッコウ,地下式給水栓,名古屋市瑞穂区,新開町24-13,35.12255666,136.9180092
1102,千年小学校,チトセショウガッコウ,地下式給水栓,名古屋市熱田区,千年二丁目38-26,35.11427286,136.8970053
1103,船方小学校,フナカタショウガッコウ,地下式給水栓,名古屋市熱田区,四番二丁目10-43,35.1218011,136.8925385
1104,豊治小学校,トヨハルショウガッコウ,地下式給水栓,名古屋市中川区,かの里一丁目2501,35.13175023,136.8153789
1105,野田小学校,ノダショウガッコウ,地下式給水栓,名古屋市中川区,野田一丁目,35.14173688,136.8463171
1106,明正小学校,メイセイショウガッコウ,地下式給水栓,名古屋市中川区,戸田明正三丁目,35.14638368,136.8029804
1107,万場小学校,マンバショウガッコウ,地下式給水栓,名古屋市中川区,万場四丁目1106,35.15360456,136.8268453
1108,戸田小学校,トダショウガッコウ,地下式給水栓,名古屋市中川区,戸田二丁目2114,35.13839797,136.8061097
1109,千音寺小学校,センノンジショウガッコウ,地下式給水栓,名古屋市中川区,富田町大字千音寺字三ノ坪,35.15755779,136.8169395
1110,赤星小学校,アカボシショウガッコウ,地下式給水栓,名古屋市中川区,富田町大字千音寺字西五反田,35.16009051,136.810265
1111,玉川小学校,タマカワショウガッコウ,地下式給水栓,名古屋市中川区,玉川町2丁目1,35.12187787,136.8777038
1112,春田小学校,ハルタショウガッコウ,地下式給水栓,名古屋市中川区,東春田二丁目,35.14065957,136.819052
1113,正色小学校,ショウシキショウガッコウ,地下式給水栓,名古屋市中川区,下之一色町権野107,35.12356765,136.8284688
1114,西中島小学校,ニシナカジマショウガッコウ,地下式給水栓,名古屋市中川区,西中島二丁目,35.12226338,136.8472352
1116,福田小学校,フクタショウガッコウ,地下式給水栓,名古屋市港区,七反野一丁目1207,35.11483676,136.8216274
1117,小碓小学校,オウスショウガッコウ,地下式給水栓,名古屋市港区,土古町4丁目59,35.11052454,136.858211
1118,東築地小学校,ヒガシツキジショウガッコウ,地下式給水栓,名古屋市港区,東築地町26,35.09363018,136.8915772
1119,野跡小学校,ノセキショウガッコウ,地下式給水栓,名古屋市港区,野跡一丁目4-11,35.07943375,136.8556775
1120,正保小学校,ショウホウショウガッコウ,地下式給水栓,名古屋市港区,正保町5丁目22,35.11577157,136.8630445
1121,高木小学校,タカギショウガッコウ,地下式給水栓,名古屋市港区,高木町3丁目20,35.10165478,136.8486851
1122,大手小学校,オオテショウガッコウ,地下式給水栓,名古屋市港区,大手町3丁目28,35.09643367,136.8688739
1123,神宮寺小学校,ジングウジショウガッコウ,地下式給水栓,名古屋市港区,神宮寺二丁目501,35.0965386,136.84538
1124,西福田小学校,ニシフクタショウガッコウ,地下式給水栓,名古屋市港区,西福田五丁目1601,35.1153872,136.8043885
1125,東海小学校,トウカイショウガッコウ,地下式給水栓,名古屋市港区,九番町1丁目1-3,35.11703096,136.8828888
1126,西築地小学校,ニシツキジショウガッコウ,地下式給水栓,名古屋市港区,浜一丁目2-33,35.0973391,136.8812935
1127,南陽小学校,ナンヨウショウガッコウ,地下式給水栓,名古屋市港区,東茶屋二丁目328,35.10631969,136.8299087
1128,港西小学校,コウセイショウガッコウ,地下式給水栓,名古屋市港区,十一屋三丁目55,35.0917934,136.8564624
1129,伝馬小学校,テンマショウガッコウ,地下式給水栓,名古屋市南区,豊二丁目38-9,35.10980467,136.9144934
